Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,JPM,V,UNH,XOM,JNJ,WMT,PG,MA,HD,CVX,MRK,ABBV,PEP,KO,COST,AVGO,LLY,TMO,MCD,CSCO,ACN,ABT,DHR,NKE,TXN,NEE,PM,ORCL,CRM,AMD,INTC,QCOM,IBM,GE,CAT,BA,DIS
2025-04-08,171.5137481689453,351.1058044433594,144.1999969482422,170.66000366210938,96.16523742675781,508.86248779296875,221.86000061035156,492.6400146484375,212.73275756835938,305.34698486328125,537.9118041992188,96.76583099365234,145.09950256347656,80.91619873046875,153.00729370117188,476.3463134765625,324.540771484375,129.84397888183594,76.18254852294922,168.5697021484375,133.49197387695312,66.49246978759766,902.4873046875,154.77590942382812,719.6635131835938,417.772705078125,291.07647705078125,51.99325180053711,276.26531982421875,120.90853118896484,173.4447784423828,51.50497817993164,140.82492065429688,61.80574417114258,144.1232147216797,122.82211303710938,241.80271911621094,78.20999908447266,18.1299991607666,121.35778045654297,214.0930633544922,168.4782257080078,269.7084045410156,139.38999938964844,80.82613372802734
2025-04-09,197.8048553466797,386.6857604980469,158.16159057617188,191.10000610351562,114.17000579833984,583.9482421875,272.20001220703125,521.4099731445312,229.86949157714844,329.2779235839844,562.6347045898438,101.59596252441406,146.037841796875,88.64276123046875,156.8037567138672,512.4033813476562,344.04766845703125,138.4730682373047,79.03880310058594,172.57118225097656,138.5252685546875,67.97936248779297,958.538330078125,183.661865234375,746.8848266601562,451.88720703125,295.0859069824219,56.822105407714844,294.47747802734375,123.92272186279297,190.5767059326172,57.354522705078125,163.4807586669922,65.1510238647461,146.60525512695312,137.80740356445312,262.7928466796875,96.83999633789062,21.530000686645508,139.7863311767578,227.9248809814453,186.28399658203125,296.3601989746094,160.82000732421875,90.43981170654297
2025-04-10,189.4191436767578,377.6347961425781,152.29193115234375,181.22000122070312,107.4194564819336,544.591064453125,252.39999389648438,515.8099975585938,222.7774200439453,321.5320739746094,578.0986328125,95.95921325683594,143.83233642578125,89.64197540283203,158.00160217285156,496.4078369140625,342.3341369628906,127.99490356445312,74.83163452148438,167.15914916992188,137.14564514160156,68.76654815673828,957.6643676757812,170.9151611328125,714.3817749023438,425.8729248046875,297.82354736328125,55.316749572753906,281.4141540527344,121.4450454711914,179.52288818359375,52.597537994384766,151.03887939453125,64.32192993164062,145.996826171875,132.02542114257812,253.23020935058594,88.69999694824219,19.8799991607666,130.83975219726562,222.34567260742188,180.5543212890625,284.6932373046875,155.52000427246094,84.29773712158203
2025-04-11,197.10850524902344,384.6656494140625,156.5970001220703,184.8699951171875,110.77476501464844,541.8795166015625,252.30999755859375,524.1099853515625,231.6940155029297,330.23870849609375,583.029541015625,99.04165649414062,146.7729949951172,91.80858612060547,161.23776245117188,506.7566833496094,342.5664978027344,128.6112518310547,76.40448760986328,167.97479248046875,137.4215545654297,69.41767120361328,956.7705688476562,180.47767639160156,725.7776489257812,436.54364013671875,300.8525085449219,56.04010772705078,280.5458679199219,123.76663970947266,187.43832397460938,52.587867736816406,142.35845947265625,63.444637298583984,148.6237335205078,131.0353546142578,253.11111450195312,93.4000015258789,19.739999771118164,135.561279296875,228.08953857421875,180.71348571777344,288.9169921875,156.83999633789062,83.96145629882812
2025-04-14,201.45556640625,384.0318603515625,158.52032470703125,182.1199951171875,110.55506896972656,529.8270263671875,252.35000610351562,529.52001953125,230.24224853515625,332.0018310546875,570.9598999023438,99.28172302246094,149.31707763671875,93.71795654296875,163.38232421875,509.4507751464844,345.7999267578125,128.31732177734375,76.39483642578125,171.86109924316406,139.6289825439453,70.40892791748047,972.5709228515625,176.92645263671875,747.5189208984375,447.6826477050781,306.84234619140625,56.11830520629883,285.92315673828125,124.82012939453125,191.64932250976562,53.57406997680664,145.61843872070312,65.25707244873047,152.19712829589844,133.30258178710938,252.66444396972656,94.5,20.309999465942383,135.5028839111328,231.55722045898438,185.0206756591797,293.5148620605469,159.27999877929688,83.73397064208984
2025-04-15,201.07754516601562,381.97210693359375,155.76988220214844,179.58999633789062,112.04297637939453,519.8980712890625,254.11000061035156,528.1699829101562,228.6825714111328,332.6258544921875,567.5850830078125,99.00324249267578,148.60125732421875,92.96607208251953,162.74472045898438,514.3419189453125,342.80853271484375,127.57765197753906,75.64217376708984,171.221923828125,135.90872192382812,69.83555603027344,970.1874389648438,177.51170349121094,750.3233032226562,439.38323974609375,303.357177734375,55.91302490234375,284.8082580566406,123.69316864013672,188.6201934814453,53.01328659057617,145.81134033203125,65.22815704345703,154.611572265625,132.6095428466797,253.0416259765625,95.29000091552734,19.850000381469727,134.92849731445312,233.14572143554688,184.6924285888672,288.8972473144531,155.52000427246094,84.08014678955078
2025-04-16,193.24891662597656,367.9896545410156,152.8001708984375,174.3300018310547,104.3437728881836,500.7477722167969,241.5500030517578,516.4500122070312,225.229736328125,328.1883239746094,568.9953002929688,100.04993438720703,148.8817901611328,90.21577453613281,160.73541259765625,510.4150695800781,334.9476623535156,128.355224609375,73.77983856201172,166.263427734375,133.29217529296875,69.66062927246094,961.0806884765625,173.20657348632812,728.2451171875,435.18865966796875,300.07586669921875,54.50542449951172,281.4338684082031,127.1034927368164,189.35511779785156,51.77570343017578,141.34576416015625,63.28074645996094,154.98822021484375,128.4710693359375,247.9893341064453,88.29000091552734,19.229999542236328,132.14427185058594,231.0825958251953,181.4893798828125,285.65814208984375,156.47000122070312,81.86463928222656
2025-04-17,195.9446563720703,364.1969909667969,150.63766479492188,172.61000061035156,101.34796142578125,499.9203796386719,241.3699951171875,518.2100219726562,227.534912109375,326.48468017578125,441.65606689453125,102.67145538330078,152.32546997070312,92.22409057617188,164.83135986328125,514.2921752929688,343.7281799316406,130.7353515625,75.26585388183594,167.53211975097656,135.90872192382812,70.94344329833984,987.6463012695312,169.6156768798828,832.3536987304688,425.93267822265625,302.2115783691406,54.50542449951172,278.5824279785156,128.3578643798828,185.5513458251953,53.912471771240234,143.1686553955078,63.926666259765625,157.6248016357422,127.3423843383789,245.42843627929688,87.5,18.93000030517578,133.0399169921875,231.31503295898438,180.8328399658203,289.70465087890625,161.89999389648438,83.88232421875
2025-04-21,192.144775390625,355.6213684082031,147.15972900390625,167.32000732421875,96.77438354492188,483.1526794433594,227.5,506.9200134277344,224.62156677246094,317.0648193359375,413.66534423828125,101.16383361816406,151.79344177246094,91.42274475097656,161.115234375,506.3292236328125,335.8286437988281,126.8095703125,75.12110900878906,164.79141235351562,134.8525848388672,70.71990966796875,951.16943359375,164.87411499023438,810.6123657226562,420.3034362792969,299.7069091796875,53.14670181274414,275.5040588378906,127.2896957397461,183.6941375732422,54.26054382324219,140.4391326904297,62.35525894165039,156.6300506591797,121.60000610351562,234.5099334716797,85.55999755859375,18.84000015258789,132.53366088867188,228.8063201904297,177.41094970703125,281.6913757324219,159.33999633789062,83.08119201660156
2025-04-22,198.69017028808594,363.246337890625,150.94659423828125,173.17999267578125,98.75160217285156,498.7240905761719,237.97000122070312,520.7899780273438,231.09564208984375,328.2577209472656,415.464599609375,103.99663543701172,152.59632873535156,93.836669921875,163.18569946289062,524.2334594726562,343.1182861328125,130.19483947753906,76.20185852050781,168.29718017578125,136.4986572265625,71.8180923461914,972.4815063476562,168.21701049804688,820.046142578125,433.13616943359375,309.76446533203125,53.801631927490234,280.1709289550781,129.09283447265625,190.75547790527344,55.169403076171875,141.5482940673828,64.24480438232422,158.49400329589844,125.9760971069336,241.5871124267578,86.26000213623047,19.510000228881836,135.06480407714844,233.3394317626953,188.18392944335938,288.0525207519531,162.52000427246094,85.14833068847656
